SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments,chemval,chem_violation
N=C=NN=NN=NC(OC(O)(O)O)(O)O,222.034881912,9,6,-2.3258300000000003,True,False,['N=C=NN=NN=NC(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NNN=NC(OC(O)(O)O)(O)O,222.034881912,11,6,-3.00782,False,False,['N#CN=NNN=NC(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CNN=NN=NC(OC(O)(O)O)(O)O,222.034881912,9,6,-3.00782,True,False,['N#CNN=NN=NC(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN=NN=NNC(OC(O)(O)O)(O)O,222.034881912,9,6,-3.00782,True,False,['N#CN=NN=NNC(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=NN=C=NC(OC(O)(O)O)(O)N,222.034881912,9,5,-2.624,True,False,['NC(O)(N=C=NN=NN=O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=NN=C=NC(OC(N)(O)O)(O)O,222.034881912,9,5,-2.624,True,False,['NC(O)(O)OC(O)(O)N=C=NN=NN=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=NN=C=NC(NC(O)(O)O)(O)O,222.034881912,9,6,-3.0174,True,False,['O=NN=NN=C=NC(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN=NN=C=NC(OC(O)(O)O)(O)O,222.03488191200003,9,6,-2.3258300000000003,True,False,['N=NN=NN=C=NC(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=C=NN=NC(OC(O)(O)O)(O)N,222.034881912,10,5,-2.624,True,False,['NC(O)(N=NN=C=NN=O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=C=NN=NC(OC(N)(O)O)(O)O,222.034881912,10,5,-2.624,True,False,['NC(O)(O)OC(O)(O)N=NN=C=NN=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=C=NN=NC(NC(O)(O)O)(O)O,222.034881912,10,6,-3.0174,True,False,['O=NN=C=NN=NC(O)(O)NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN=C=NN=NC(OC(O)(O)O)(O)O,222.03488191200003,10,6,-2.3258300000000003,True,False,['N=NN=C=NN=NC(O)(O)OC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(N)(O)O)C(OC#N)(O)O,222.034881912,11,5,-3.01482,True,False,['N#COC(O)(O)N(N=O)N=NC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(N)(O)O)C(N=C=O)(O)O,222.034881912,11,5,-3.1767,True,False,['NC(O)(O)N=NN(N=O)C(O)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(O)(O)O)C(OC#N)(O)N,222.034881912,11,5,-3.0148200000000003,True,False,['N#COC(N)(O)N(N=O)N=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(O)(O)O)C(N=C=O)(O)N,222.034881912,11,5,-3.1767000000000003,True,False,['NC(O)(N=C=O)N(N=O)N=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(O)(O)O)C(N=C=N)(O)O,222.034881912,11,6,-2.72623,False,False,['N=C=NC(O)(O)N(N=O)N=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(O)(O)O)C(NC#N)(O)O,222.034881912,11,6,-3.40822,False,False,['N#CNC(O)(O)N(N=O)N=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=NC(O)(O)O)C(OC#N)(O)O,222.034881912,11,6,-2.71665,False,False,['N#COC(O)(O)N(N=N)N=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=NC(O)(O)O)C(N=C=O)(O)O,222.034881912,11,6,-2.87853,False,False,['N=NN(N=NC(O)(O)O)C(O)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(N)(O)O)C(ON=O)(O)O,222.034881912,11,5,-3.01482,True,False,['N#CN(N=NC(N)(O)O)C(O)(O)ON=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(O)(O)O)C(ON=O)(O)N,222.034881912,11,5,-3.0148200000000003,True,False,['N#CN(N=NC(O)(O)O)C(N)(O)ON=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(O)(O)O)C(ON=N)(O)O,222.034881912,11,6,-2.71665,False,False,['N#CN(N=NC(O)(O)O)C(O)(O)ON=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(O)(O)O)C(NN=O)(O)O,222.034881912,10,6,-3.40822,True,False,['N#CN(N=NC(O)(O)O)C(O)(O)NN=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(O)(O)O)C(N=NO)(O)O,222.034881912,10,6,-2.8378200000000002,True,False,['N#CN(N=NC(O)(O)O)C(O)(O)N=NO'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=O)C(N(C#N)C(N)(O)O)(O)O,222.034881912,11,5,-3.4152199999999997,True,False,['N#CN(C(N)(O)O)C(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(N(C#N)C(O)(O)O)(O)N,222.034881912,11,5,-3.4152199999999997,True,False,['N#CN(C(O)(O)O)C(N)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
N=NN(N=O)C(N(C#N)C(O)(O)O)(O)O,222.034881912,11,6,-3.11705,False,False,['N#CN(C(O)(O)O)C(O)(O)N(N=N)N=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(N(N=O)C(N)(O)O)(O)O,222.034881912,10,5,-3.4152199999999997,True,False,['N#CN(N=O)C(O)(O)N(N=O)C(N)(O)O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(N(N=O)C(O)(O)O)(O)N,222.034881912,10,5,-3.4152199999999997,True,False,['N#CN(N=O)C(N)(O)N(N=O)C(O)(O)O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(N(N=N)C(O)(O)O)(O)O,222.034881912,10,6,-3.11705,True,False,['N#CN(N=O)C(O)(O)N(N=N)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(N(N=O)C(O)(O)O)(O)O,222.034881912,10,6,-3.11705,True,False,['N#CN(N=N)C(O)(O)N(N=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=O)C(N=C=NC(N)(O)O)(O)O,222.034881912,11,5,-3.0244,True,False,['NC(O)(O)N=C=NC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(N=C=NC(O)(O)O)(O)N,222.034881912,11,5,-3.0244,True,False,['NC(O)(N=C=NC(O)(O)O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
N=NN(N=O)C(N=C=NC(O)(O)O)(O)O,222.034881912,11,6,-2.72623,False,False,['N=NN(N=O)C(O)(O)N=C=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(ON=NC(N)(O)O)(O)O,222.034881912,11,5,-3.01482,True,False,['N#CN(N=O)C(O)(O)ON=NC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(N=NOC(N)(O)O)(O)O,222.034881912,11,5,-3.01482,True,False,['N#CN(N=O)C(O)(O)N=NOC(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(ON=NC(O)(O)O)(O)N,222.034881912,11,5,-3.0148200000000003,True,False,['N#CN(N=O)C(N)(O)ON=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(N=NOC(O)(O)O)(O)N,222.034881912,11,5,-3.0148200000000003,True,False,['N#CN(N=O)C(N)(O)N=NOC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(NN=NC(O)(O)O)(O)O,222.034881912,10,6,-3.40822,True,False,['N#CN(N=O)C(O)(O)NN=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(N=NNC(O)(O)O)(O)O,222.034881912,10,6,-3.40822,True,False,['N#CN(N=O)C(O)(O)N=NNC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(ON=NC(O)(O)O)(O)O,222.034881912,11,6,-2.71665,False,False,['N#CN(N=N)C(O)(O)ON=NC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(N=NOC(O)(O)O)(O)O,222.034881912,11,6,-2.71665,False,False,['N#CN(N=N)C(O)(O)N=NOC(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(OC#N)(O)N)C(O)(O)O,222.034881912,11,5,-3.01482,True,False,['N#COC(N)(O)N=NN(N=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(N=C=O)(O)N)C(O)(O)O,222.034881912,11,5,-3.1767,True,False,['NC(O)(N=C=O)N=NN(N=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(OC#N)(O)O)C(N)(O)O,222.034881912,11,5,-3.0148200000000003,True,False,['N#COC(O)(O)N=NN(N=O)C(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(N=C=O)(O)O)C(N)(O)O,222.034881912,11,5,-3.1767,True,False,['NC(O)(O)N(N=O)N=NC(O)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(N=C=N)(O)O)C(O)(O)O,222.034881912,11,6,-2.72623,False,False,['N=C=NC(O)(O)N=NN(N=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=NC(NC#N)(O)O)C(O)(O)O,222.034881912,11,6,-3.40822,False,False,['N#CNC(O)(O)N=NN(N=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=NC(OC#N)(O)O)C(O)(O)O,222.034881912,11,6,-2.71665,False,False,['N#COC(O)(O)N=NN(N=N)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=NC(N=C=O)(O)O)C(O)(O)O,222.034881912,11,6,-2.87853,False,False,['N=NN(N=NC(O)(O)N=C=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(ON=O)(O)N)C(O)(O)O,222.034881912,11,5,-3.01482,True,False,['N#CN(N=NC(N)(O)ON=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(ON=O)(O)O)C(N)(O)O,222.034881912,11,5,-3.0148200000000003,True,False,['N#CN(N=NC(O)(O)ON=O)C(N)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(ON=N)(O)O)C(O)(O)O,222.034881912,11,6,-2.71665,False,False,['N#CN(N=NC(O)(O)ON=N)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(NN=O)(O)O)C(O)(O)O,222.034881912,10,6,-3.40822,True,False,['N#CN(N=NC(O)(O)NN=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=NC(N=NO)(O)O)C(O)(O)O,222.034881912,10,6,-2.8378200000000002,True,False,['N#CN(N=NC(O)(O)N=NO)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(OC#N)(N)N)(O)O,222.034881912,11,4,-2.70992,True,False,['N#COC(N)(N)OC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(N=C=O)(N)N)(O)O,222.034881912,11,4,-2.8718,True,False,['NC(N)(N=C=O)OC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(OC#N)(O)N)(O)N,222.034881912,11,4,-2.7099200000000003,True,False,['N#COC(N)(O)OC(N)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(N=C=O)(O)N)(O)N,222.034881912,11,4,-2.8718000000000004,True,False,['NC(O)(N=C=O)OC(N)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(NC(OC#N)(O)N)(O)O,222.034881912,11,5,-3.1033199999999996,True,False,['N#COC(N)(O)NC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(NC(N=C=O)(O)N)(O)O,222.034881912,11,5,-3.2651999999999997,True,False,['NC(O)(N=C=O)NC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(N=C=N)(O)N)(O)O,222.034881912,11,5,-2.42133,True,False,['N=C=NC(N)(O)OC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(NC#N)(O)N)(O)O,222.034881912,11,5,-3.1033199999999996,True,False,['N#CNC(N)(O)OC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
N=NN(N=O)C(OC(OC#N)(O)N)(O)O,222.034881912,11,5,-2.41175,True,False,['N#COC(N)(O)OC(O)(O)N(N=N)N=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=O)C(OC(N=C=O)(O)N)(O)O,222.034881912,11,5,-2.57363,True,False,['N=NN(N=O)C(O)(O)OC(N)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(OC#N)(O)O)(N)N,222.034881912,11,4,-2.7099200000000003,True,False,['N#COC(O)(O)OC(N)(N)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(N=C=O)(O)O)(N)N,222.034881912,11,4,-2.8718000000000004,True,False,['NC(N)(OC(O)(O)N=C=O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(NC(OC#N)(O)O)(O)N,222.034881912,11,5,-3.1033199999999996,True,False,['N#COC(O)(O)NC(N)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(NC(N=C=O)(O)O)(O)N,222.034881912,11,5,-3.2651999999999997,True,False,['NC(O)(NC(O)(O)N=C=O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(N=C=N)(O)O)(O)N,222.034881912,11,5,-2.42133,True,False,['N=C=NC(O)(O)OC(N)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(OC(NC#N)(O)O)(O)N,222.034881912,11,5,-3.1033199999999996,True,False,['N#CNC(O)(O)OC(N)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
N=NN(N=O)C(OC(OC#N)(O)O)(O)N,222.034881912,11,5,-2.41175,True,False,['N#COC(O)(O)OC(N)(O)N(N=N)N=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=O)C(OC(N=C=O)(O)O)(O)N,222.034881912,11,5,-2.57363,True,False,['N=NN(N=O)C(N)(O)OC(O)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN(N=O)C(NC(N=C=N)(O)O)(O)O,222.034881912,11,6,-2.81473,False,False,['N=C=NC(O)(O)NC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
O=NN(N=O)C(NC(NC#N)(O)O)(O)O,222.034881912,11,6,-3.49672,False,False,['N#CNC(O)(O)NC(O)(O)N(N=O)N=O'],False,"Geminal diol/triol, Hydrazine"
N=NN(N=O)C(NC(OC#N)(O)O)(O)O,222.034881912,11,6,-2.80515,False,False,['N#COC(O)(O)NC(O)(O)N(N=N)N=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=O)C(NC(N=C=O)(O)O)(O)O,222.034881912,11,6,-2.96703,False,False,['N=NN(N=O)C(O)(O)NC(O)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=O)C(OC(N=C=N)(O)O)(O)O,222.034881912,11,6,-2.1231600000000004,False,False,['N=C=NC(O)(O)OC(O)(O)N(N=N)N=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=O)C(OC(NC#N)(O)O)(O)O,222.034881912,11,6,-2.80515,False,False,['N#CNC(O)(O)OC(O)(O)N(N=N)N=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=N)C(OC(OC#N)(O)O)(O)O,222.03488191200003,11,6,-2.1135800000000002,False,False,['N#COC(O)(O)OC(O)(O)N(N=N)N=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N=NN(N=N)C(OC(N=C=O)(O)O)(O)O,222.03488191200003,11,6,-2.2754600000000003,False,False,['N=NN(N=N)C(O)(O)OC(O)(O)N=C=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(ON=O)(N)N)(O)O,222.034881912,11,4,-2.7099200000000003,True,False,['N#CN(N=O)C(O)(O)OC(N)(N)ON=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(ON=O)(O)N)(O)N,222.034881912,11,4,-2.7099200000000003,True,False,['N#CN(N=O)C(N)(O)OC(N)(O)ON=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(NC(ON=O)(O)N)(O)O,222.034881912,11,5,-3.1033199999999996,True,False,['N#CN(N=O)C(O)(O)NC(N)(O)ON=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(ON=N)(O)N)(O)O,222.034881912,11,5,-2.41175,True,False,['N#CN(N=O)C(O)(O)OC(N)(O)ON=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(NN=O)(O)N)(O)O,222.034881912,10,5,-3.1033199999999996,True,False,['N#CN(N=O)C(O)(O)OC(N)(O)NN=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(N=NO)(O)N)(O)O,222.034881912,10,5,-2.5329200000000003,True,False,['N#CN(N=O)C(O)(O)OC(N)(O)N=NO'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(OC(ON=O)(O)N)(O)O,222.034881912,11,5,-2.41175,True,False,['N#CN(N=N)C(O)(O)OC(N)(O)ON=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(ON=O)(O)O)(N)N,222.034881912,11,4,-2.7099200000000003,True,False,['N#CN(N=O)C(N)(N)OC(O)(O)ON=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(NC(ON=O)(O)O)(O)N,222.034881912,11,5,-3.1033199999999996,True,False,['N#CN(N=O)C(N)(O)NC(O)(O)ON=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(ON=N)(O)O)(O)N,222.034881912,11,5,-2.41175,True,False,['N#CN(N=O)C(N)(O)OC(O)(O)ON=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(NN=O)(O)O)(O)N,222.034881912,10,5,-3.1033199999999996,True,False,['N#CN(N=O)C(N)(O)OC(O)(O)NN=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(N=NO)(O)O)(O)N,222.034881912,10,5,-2.5329200000000003,True,False,['N#CN(N=O)C(N)(O)OC(O)(O)N=NO'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(OC(ON=O)(O)O)(O)N,222.034881912,11,5,-2.41175,True,False,['N#CN(N=N)C(N)(O)OC(O)(O)ON=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(NC(ON=N)(O)O)(O)O,222.034881912,11,6,-2.80515,False,False,['N#CN(N=O)C(O)(O)NC(O)(O)ON=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(NC(NN=O)(O)O)(O)O,222.034881912,10,6,-3.49672,True,False,['N#CN(N=O)C(O)(O)NC(O)(O)NN=O'],False,"Geminal diol/triol, Hydrazine"
N#CN(N=O)C(NC(N=NO)(O)O)(O)O,222.034881912,10,6,-2.92632,True,False,['N#CN(N=O)C(O)(O)NC(O)(O)N=NO'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(NC(ON=O)(O)O)(O)O,222.034881912,11,6,-2.80515,False,False,['N#CN(N=N)C(O)(O)NC(O)(O)ON=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(NN=N)(O)O)(O)O,222.034881912,10,6,-2.80515,True,False,['N#CN(N=O)C(O)(O)OC(O)(O)NN=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=O)C(OC(N=NN)(O)O)(O)O,222.034881912,10,5,-3.01482,True,False,['N#CN(N=O)C(O)(O)OC(O)(O)N=NN'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(OC(ON=N)(O)O)(O)O,222.034881912,11,6,-2.1135800000000002,False,False,['N#CN(N=N)C(O)(O)OC(O)(O)ON=N'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(OC(NN=O)(O)O)(O)O,222.034881912,10,6,-2.80515,True,False,['N#CN(N=N)C(O)(O)OC(O)(O)NN=O'],False,"PAINS, Geminal diol/triol, Hydrazine"
N#CN(N=N)C(OC(N=NO)(O)O)(O)O,222.034881912,10,6,-2.23475,True,False,['N#CN(N=N)C(O)(O)OC(O)(O)N=NO'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=NN(C(O)(O)O)C(OC#N)(O)N,222.034881912,9,5,-3.0148200000000003,True,False,['N#COC(N)(O)N(N=NN=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
O=NN=NN(C(O)(O)O)C(N=C=O)(O)N,222.034881912,9,5,-3.1767000000000003,True,False,['NC(O)(N=C=O)N(N=NN=O)C(O)(O)O'],False,"PAINS, Geminal diol/triol, Hydrazine"
